order_id,customer_name,product,quantity,unit_price,order_date,region,total_price,customer_tier
1,Diana,Tablet,2.0,500.0,2024-01-20,South,1000.0,Gold
2,Eve,Laptop,2.0,500.0,2024-04-29,North,1000.0,Gold
3,Charlie,Laptop,2.0,250.0,2024-01-08,Unknown,500.0,Silver
4,Eve,Laptop,2.0,750.0,2024-01-07,West,1500.0,Gold
5,Eve,Tablet,3.0,500.0,2024-03-07,South,1500.0,Gold
7,Charlie,Monitor,2.0,750.0,2024-02-02,West,1500.0,Gold
8,Charlie,Laptop,3.0,500.0,2024-02-17,Unknown,1500.0,Gold
9,Charlie,Monitor,2.0,750.0,2024-03-16,West,1500.0,Gold
10,Eve,Monitor,1.0,500.0,2024-02-28,North,500.0,Silver
11,Unknown,Monitor,3.0,750.0,2024-04-24,West,2250.0,Gold
12,Charlie,Tablet,2.0,750.0,2024-03-26,East,1500.0,Gold
13,Frank,Tablet,1.0,750.0,2024-04-28,West,750.0,Silver
14,Eve,Tablet,1.0,500.0,2024-01-22,South,500.0,Silver
15,Bob,Laptop,1.0,500.0,2024-04-19,South,500.0,Silver
17,Frank,Tablet,2.0,500.0,2024-02-07,North,1000.0,Gold
18,Frank,Tablet,1.0,250.0,2024-04-11,South,250.0,Bronze
19,Bob,Laptop,2.0,250.0,2024-04-18,Unknown,500.0,Silver
20,Diana,Tablet,1.0,500.0,2024-02-20,South,500.0,Silver
21,Eve,Laptop,1.0,500.0,2024-02-23,South,500.0,Silver
22,Alice,Phone,3.0,750.0,2024-01-08,North,2250.0,Gold
23,Diana,Tablet,3.0,500.0,2024-01-27,West,1500.0,Gold
24,Bob,Phone,2.0,500.0,2024-01-27,South,1000.0,Gold
25,Frank,Laptop,2.0,250.0,2024-04-07,East,500.0,Silver
26,Eve,Monitor,3.0,750.0,2024-01-21,West,2250.0,Gold
27,Diana,Tablet,1.0,500.0,2024-01-30,Unknown,500.0,Silver
28,Alice,Laptop,2.0,250.0,2024-04-06,North,500.0,Silver
29,Alice,Monitor,1.0,250.0,2024-01-28,Unknown,250.0,Bronze
30,Charlie,Monitor,1.0,500.0,2024-04-20,West,500.0,Silver
31,Charlie,Phone,3.0,750.0,2024-03-04,West,2250.0,Gold
32,Bob,Laptop,2.0,750.0,2024-04-06,West,1500.0,Gold
33,Diana,Monitor,2.0,500.0,2024-03-09,Unknown,1000.0,Gold
34,Diana,Tablet,2.0,500.0,2024-03-01,West,1000.0,Gold
35,Frank,Tablet,3.0,750.0,2024-02-17,Unknown,2250.0,Gold
36,Frank,Phone,3.0,750.0,2024-01-19,West,2250.0,Gold
37,Frank,Monitor,2.0,500.0,2024-01-04,East,1000.0,Gold
38,Charlie,Laptop,2.0,500.0,2024-02-04,West,1000.0,Gold
39,Diana,Tablet,2.0,500.0,2024-03-04,Unknown,1000.0,Gold
40,Diana,Monitor,2.0,500.0,2024-02-18,South,1000.0,Gold
41,Alice,Monitor,1.0,250.0,2024-01-17,West,250.0,Bronze
42,Charlie,Phone,2.0,500.0,2024-02-13,South,1000.0,Gold
43,Eve,Tablet,1.0,500.0,2024-04-01,East,500.0,Silver
